plant_id,image_path,source,source_page,source_file_url,downloaded_file_url,title,author,license,license_url,reviewed_status
PLANT-0084,/images/plants/plant-0084-commons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Agastache_foeniculum_-_Anise_Hyssop_01.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Agastache_foeniculum_-_Anise_Hyssop_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Agastache_foeniculum_-_Anise_Hyssop_01.jpg/960px-Agastache_foeniculum_-_Anise_Hyssop_01.jpg,File:Agastache foeniculum - Anise Hyssop 01.jpg,Jasper Shide,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,needs_operator_visual_review
PLANT-0052,/images/plants/plant-0052-commons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Verbena_bonariensis_kz2.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/Verbena_bonariensis_kz2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Verbena_bonariensis_kz2.jpg/960px-Verbena_bonariensis_kz2.jpg,File:Verbena bonariensis kz2.jpg,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,needs_operator_visual_review
PLANT-0011,/images/plants/plant-0011-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Люпин багатолистий.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Люпин багатолистий.jpg,,Люпин багатолистий,Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0012,/images/plants/plant-0012-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Нігелла дамаська.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Нігелла дамаська.jpg,,Нігелла дамаська 'Персидська троянда',Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0039,/images/plants/plant-0039-local-review.png,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Піщанка гірська.png,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Піщанка гірська.png,,Піщанка гірська 'Snowbank',Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0064,/images/plants/plant-0064-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка синя V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка синя V-120.jpg,,Волошка синя 'Низька махрова суміш',Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0086,/images/plants/plant-0086-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Звіробій звичайний 1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Звіробій звичайний 1.jpg,,Звіробій звичайний,Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0051,/images/plants/plant-0051-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Каламинта котовникова.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Каламинта котовникова.jpg,,Каламінта котовникова,Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0042,/images/plants/plant-0042-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Кніфофія ягідна 1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Кніфофія ягідна 1.jpg,,Кніфофія ягідна,Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0044,/images/plants/plant-0044-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Майоран садовий.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Майоран садовий.jpg,,Майоран садовий,Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0032,/images/plants/plant-0032-local-review.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Сосна звичайна V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Сосна звичайна V-120.jpg,,Сосна звичайна,Flora & Aroma local file,local_review_needed,,needs_operator_visual_review
PLANT-0081,/images/plants/plant-0081-commons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Peppermint_Mentha_%C3%97_piperita_IMG_7237.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Peppermint_Mentha_%C3%97_piperita_IMG_7237.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Peppermint_Mentha_%C3%97_piperita_IMG_7237.jpg/960px-Peppermint_Mentha_%C3%97_piperita_IMG_7237.jpg,File:Peppermint Mentha × piperita IMG 7237.jpg,S.G.S.,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,needs_operator_visual_review
PLANT-0074,/images/plants/plant-0074-commons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ruta_graveolens3.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Ruta_graveolens3.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Ruta_graveolens3.jpg,File:Ruta graveolens3.jpg,Kurt Stüber,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,needs_operator_visual_review
PLANT-0088,/images/plants/local/plant-0088-local-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Арабіс кавказький.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Арабіс кавказький.jpg,,Арабіс кавказький,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0089,/images/plants/local/plant-0089-local-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Базилік зелений 1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Базилік зелений 1.jpg,,Базилік зелений,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0089,/images/plants/local/plant-0089-local-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Базилік зелений.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Базилік зелений.jpg,,Базилік зелений,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0055,/images/plants/local/plant-0055-local-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста-3.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста-3.jpg,,Лаванда широколиста,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0055,/images/plants/local/plant-0055-local-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста-2.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста-2.jpg,,Лаванда широколиста,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0055,/images/plants/local/plant-0055-local-03.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста.jpg,,Лаванда широколиста,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0004,/images/plants/local/plant-0004-local-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата-1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата-1.jpg,,Гвоздика бородата,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0004,/images/plants/local/plant-0004-local-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата.jpg,,Гвоздика бородата,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0004,/images/plants/local/plant-0004-local-03.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата-3.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата-3.jpg,,Гвоздика бородата,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0084,/images/plants/local/plant-0084-local-gallery-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Агастахе фенхельне-1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Агастахе фенхельне-1.jpg,,Агастахе фенхельне,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0084,/images/plants/local/plant-0084-local-gallery-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Агастахе фенхельне V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Агастахе фенхельне V-120.jpg,,Агастахе фенхельне,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0058,/images/plants/local/plant-0058-local-gallery-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія-1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія-1.jpg,,Аквілегія низька 'Columbine Dwarf Mixed',Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0058,/images/plants/local/plant-0058-local-gallery-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія-2_.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія-2_.jpg,,Аквілегія низька 'Columbine Dwarf Mixed',Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0058,/images/plants/local/plant-0058-local-gallery-03.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія-3.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія-3.jpg,,Аквілегія низька 'Columbine Dwarf Mixed',Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0058,/images/plants/local/plant-0058-local-gallery-04.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія Р-11.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Аквілегія Р-11.jpg,,Аквілегія низька 'Columbine Dwarf Mixed',Flora & Aroma local file,local_review_needed,,duplicate_hidden_from_product_gallery
PLANT-0064,/images/plants/local/plant-0064-local-gallery-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка синя.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка синя.jpg,,Волошка синя 'Низька махрова суміш',Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0064,/images/plants/local/plant-0064-local-gallery-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка 1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка 1.jpg,,Волошка синя 'Низька махрова суміш',Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
